RELAY_LOG_POS;RELAY_LOG_POS
RELEASE;RELEASE
RELOAD;RELOAD
REMOVE;REMOVE
RENAME;RENAME
REORGANIZE;REORGANIZE
REPAIR;REPAIR
REPEAT;REPEAT
REPEATABLE;REPEATABLE
REPLACE;REPLACE
REPLICATION;REPLICATION
REQUIRE;REQUIRE
RESET;RESET
RESTORE;RESTORE
RESTRICT;RESTRICT
RETURN;RETURN
RETURNS;RETURNS
REVOKE;REVOKE
RIGHT;RIGHT
RLIKE;RLIKE
ROLLBACK;ROLLBACK
ROW_FORMAT;ROW_FORMAT
RTREE;RTREE
SAVEPOINT;SAVEPOINT
SCHEDULE;SCHEDULE
SCHEMA;SCHEMA
SCHEMAS;SCHEMAS
SECOND;SECOND
SECURITY;SECURITY
SELECT;SELECT
SEPARATOR;SEPARATOR
SERIAL;SERIAL
SERIALIZABLE;SERIALIZABLE
SERVER;SERVER
SESSION;SESSION
SET;SET
SHA;SHA
SHA1;SHA1
SHARE;SHARE
SHOW;SHOW
SHUTDOWN;SHUTDOWN
SIGNED;SIGNED
SLAVE;SLAVE
SNAPSHOT;SNAPSHOT
SOCKET;SOCKET
SONAME;SONAME
SOUNDS;SOUNDS
SPATIAL;SPATIAL
SQL_BIG_RESULT;SQL_BIG_RESULT
SQL_BUFFER_RESULT;SQL_BUFFER_RESULT
SQL_CACHE;SQL_CACHE
SQL_CALC_FOUND_ROWS;SQL_CALC_FOUND_ROWS
SQL_LOG_BIN;SQL_LOG_BIN
SQL_NO_CACHE;SQL_NO_CACHE
SQL_SLAVE_SKIP_COUNTER;SQL_SLAVE_SKIP_COUNTER
SQL_SMALL_RESULT;SQL_SMALL_RESULT
SQL_THREAD;SQL_THREAD
SSL;SSL
START;START
STARTING;STARTING
STARTS;STARTS
STATUS;STATUS
STD;STD
STDDEV;STDDEV
STOP;STOP
STORAGE;STORAGE
STRAIGHT_JOIN;STRAIGHT_JOIN
STRING;STRING
SUBJECT;SUBJECT
SUPER;SUPER
TABLE;TABLE
TABLES;TABLES
TABLESPACE;TABLESPACE
TEMPORARY;TEMPORARY
TERMINATED;TERMINATED
THEN;THEN
TIME;TIME
TIMESTAMP;TIMESTAMP
TO;TO
TRAILING;TRAILING
TRANSACTION;TRANSACTION
TRIGGER;TRIGGER
TRIGGERS;TRIGGERS
TRUE;TRUE
TRUNCATE;TRUNCATE
TYPE;TYPE
TYPES;TYPES
UNCOMMITTED;UNCOMMITTED
UNDO;UNDO
UNINSTALL;UNINSTALL
UNION;UNION
UNIQUE;UNIQUE
UNLOCK;UNLOCK
UNSIGNED;UNSIGNED
UNTIL;UNTIL
UPDATE;UPDATE
UPGRADE;UPGRADE
USAGE;USAGE
USE;USE
USE_FRM;USE_FRM
USER;USER
USER_RESOURCES;USER_RESOURCES
USING;USING
VALUE;VALUE
VALUES;VALUES
VARCHARACTER;VARCHARACTER
VARIABLE;VARIABLE
VARIABLES;VARIABLES
VARYING;VARYING
VIEW;VIEW
WAIT;WAIT
WARNINGS;WARNINGS
WHEN;WHEN
WHERE;WHERE
WHILE;WHILE
WITH;WITH
WORK;WORK
WRAPPER;WRAPPER
WRITE;WRITE
X509;X509
YEAR;YEAR
YEAR_MONTH;YEAR_MONTH
ZEROFILL;ZEROFILL



